Date,AUD,CAD,CNY,EUR,HKD,INR,KRW,MXN,PLN,SGD,THB
2023-04-24,1.5175,1.3643,6.9191,0.91066,7.8498,81.83,1339.49,18.0477,4.1722,1.3368,34.12
2023-05-01,1.4945,1.3576,6.9116,0.90711,7.8489,81.79,1329.05,17.9222,4.1558,1.3299,33.927
2023-05-08,1.4829,1.3405,6.93,0.91291,7.8398,82.02,1326.78,17.7036,4.1512,1.3283,33.774
2023-05-15,1.5009,1.3484,6.9906,0.92242,7.8307,82.44,1334.91,17.5905,4.1629,1.3415,34.153
2023-05-22,1.5196,1.3555,7.0517,0.92816,7.8329,82.74,1321.37,17.8382,4.1863,1.3484,34.584
2023-05-29,1.5286,1.3562,7.087,0.93284,7.8337,82.56,1317.99,17.6021,4.22,1.3508,34.717
2023-06-05,1.4988,1.3388,7.1209,0.93275,7.839,82.55,1300.34,17.4188,4.1739,1.3475,34.766
2023-06-12,1.4704,1.3307,7.147,0.92336,7.8297,82.19,1278.98,17.2183,4.1204,1.341,34.659
2023-06-19,1.4771,1.3205,7.1767,0.915,7.826,82.0,1294.12,17.1523,4.0598,1.3447,34.931
2023-06-26,1.5038,1.3216,7.2392,0.91558,7.8337,82.04,1310.89,17.0892,4.0703,1.3524,35.407
2023-07-03,1.5006,1.3282,7.2355,0.91811,7.8277,82.28,1303.22,17.1092,4.0902,1.351,35.05
2023-07-10,1.4829,1.3212,7.1858,0.90302,7.8246,82.31,1284.86,17.0007,4.0158,1.3348,34.793
2023-07-17,1.4729,1.3188,7.181,0.89246,7.8124,82.02,1269.88,16.7988,3.9727,1.3241,34.248
2023-07-24,1.4834,1.3196,7.1572,0.90351,7.806,81.97,1277.69,16.8132,3.9989,1.3282,34.326
2023-07-31,1.5154,1.3312,7.1701,0.91149,7.8018,82.55,1294.32,16.9808,4.0458,1.3376,34.435
2023-08-07,1.5284,1.3427,7.21,0.91042,7.8138,82.77,1316.15,17.0852,4.0463,1.3462,34.975
2023-08-14,1.5505,1.3498,7.2827,0.91676,7.826,83.15,1337.83,17.0793,4.0929,1.357,35.331
2023-08-21,1.555,1.3542,7.2876,0.92166,7.8398,82.79,1332.13,16.8901,4.1228,1.3557,35.066
2023-08-28,1.5496,1.3569,7.2836,0.92234,7.8455,82.72,1323.84,16.8113,4.1236,1.3532,35.089
2023-09-04,1.5623,1.3642,7.3093,0.93127,7.8393,83.01,1330.87,17.358,4.2216,1.3611,35.471
2023-09-11,1.5542,1.3552,7.2843,0.93353,7.828,83.0,1328.04,17.2791,4.3291,1.3617,35.699
2023-09-18,1.5508,1.3458,7.2981,0.93703,7.8206,83.12,1330.24,17.1029,4.339,1.3646,35.969
2023-09-25,1.5584,1.348,7.3077,0.94509,7.8237,83.17,1347.75,17.4782,4.3637,1.3675,36.446
2023-10-02,1.5763,1.3704,7.3022,0.95084,7.8311,83.21,1353.71,17.9196,4.3853,1.3711,36.986
2023-10-09,1.5675,1.3627,7.2998,0.94589,7.8231,83.25,1346.28,18.0094,4.2974,1.366,36.548
2023-10-16,1.5782,1.3664,7.3144,0.94661,7.8233,83.21,1353.94,18.1221,4.2137,1.3705,36.389
2023-10-23,1.5794,1.3764,7.3162,0.94545,7.8224,83.17,1351.94,18.2501,4.2249,1.3702,36.275
2023-10-30,1.5616,1.3807,7.3149,0.94118,7.8235,83.25,1339.06,17.7985,4.1906,1.3645,35.913
2023-11-06,1.5569,1.3754,7.2824,0.9351,7.8161,83.28,1310.11,17.5768,4.1645,1.3562,35.657
2023-11-13,1.5496,1.3752,7.2564,0.92618,7.8048,83.2,1306.71,17.4136,4.0745,1.3522,35.601
2023-11-20,1.5234,1.3707,7.151,0.91558,7.7956,83.34,1298.12,17.1535,3.9962,1.3397,35.26
2023-11-27,1.5125,1.3593,7.1429,0.91424,7.803,83.34,1298.24,17.2244,3.974,1.3358,35.027
2023-12-04,1.5177,1.3574,7.1512,0.92575,7.8139,83.37,1313.05,17.3672,4.0113,1.3389,35.194
2023-12-11,1.5103,1.3509,7.1522,0.92225,7.8083,83.31,1308.62,17.3375,3.9873,1.3375,35.381
2023-12-18,1.4796,1.3346,7.1368,0.91191,7.8052,83.18,1301.61,17.0912,3.9588,1.3292,34.861
2023-12-25,1.465,1.3228,7.1185,0.90285,7.8127,83.22,1292.7,16.9261,3.9141,1.3201,34.329
2024-01-01,1.4858,1.3336,7.1496,0.91433,7.8104,83.26,1313.19,17.0467,3.9859,1.3285,34.498
2024-01-08,1.4937,1.3372,7.165,0.91308,7.817,83.04,1317.47,16.9302,3.9708,1.331,35.023
2024-01-15,1.5167,1.3476,7.189,0.91802,7.8226,83.07,1335.31,17.1063,4.0227,1.3408,35.387
2024-01-22,1.5167,1.3459,7.1722,0.91861,7.8176,83.13,1336.21,17.1819,4.0186,1.3397,35.65
2024-01-29,1.52,1.3424,7.179,0.92242,7.8168,83.04,1331.25,17.1554,4.0062,1.3394,35.435
2024-02-05,1.5372,1.3482,7.1943,0.92945,7.8213,83.02,1330.8,17.1024,4.0309,1.3456,35.781
2024-02-12,1.5355,1.3495,7.1937,0.92954,7.8196,83.02,1330.93,17.0781,4.0277,1.3463,35.984
2024-02-19,1.5242,1.3485,7.1947,0.92481,7.8217,82.94,1331.93,17.0541,3.9944,1.3438,35.968
2024-02-26,1.5342,1.3556,7.1973,0.92328,7.8262,82.88,1334.46,17.0722,3.9804,1.3453,35.923
2024-03-04,1.5256,1.3538,7.1969,0.9192,7.823,82.82,1329.52,16.9128,3.963,1.339,35.683
2024-03-11,1.5152,1.3499,7.1876,0.91575,7.8219,82.81,1317.69,16.7574,3.9271,1.3332,35.672
2024-03-18,1.5281,1.3562,7.2048,0.92047,7.8212,83.16,1336.98,16.7913,3.9722,1.3426,36.13
2024-03-25,1.532,1.358,7.2217,0.92345,7.8233,83.36,1345.72,16.6471,3.981,1.3468,36.377
2024-04-01,1.5262,1.3547,7.235,0.92541,7.8288,83.4,1350.14,16.5661,3.9722,1.3498,36.694
2024-04-08,1.5223,1.3633,7.2348,0.92713,7.8334,83.31,1362.1,16.4112,3.951,1.3505,36.511
2024-04-15,1.5538,1.3772,7.2387,0.9387,7.8308,83.53,1382.49,16.9383,4.0634,1.3617,36.76
2024-04-22,1.5401,1.3689,7.246,0.93589,7.8325,83.34,1377.01,17.0885,4.0414,1.3617,37.025
2024-04-29,1.5266,1.3682,7.2411,0.93284,7.8199,83.45,1372.78,16.9862,4.0345,1.3581,36.952
2024-05-06,1.5158,1.3704,7.2209,0.92945,7.8171,83.5,1363.18,16.886,4.002,1.354,36.846
2024-05-13,1.5058,1.3645,7.2266,0.92362,7.8072,83.47,1359.4,16.7629,3.9447,1.3494,36.484
2024-05-20,1.5032,1.3659,7.2384,0.92166,7.8056,83.25,1363.3,16.6247,3.9254,1.3484,36.397
2024-05-27,1.5053,1.366,7.2429,0.92166,7.8131,83.28,1369.62,16.8307,3.9294,1.3497,36.709
2024-06-03,1.5039,1.3671,7.2437,0.92013,7.8128,83.39,1372.23,17.7329,3.9522,1.3477,36.623
2024-06-10,1.5121,1.3757,7.2528,0.93075,7.8112,83.54,1378.07,18.5667,4.044,1.3522,36.723
2024-06-17,1.5057,1.372,7.2578,0.9331,7.8061,83.51,1385.01,18.4206,4.0466,1.353,36.732
2024-06-24,1.5032,1.3687,7.2638,0.93397,7.808,83.46,1387.18,18.2049,4.0226,1.3555,36.747
2024-07-01,1.4942,1.3663,7.2701,0.92842,7.8115,83.48,1384.23,18.234,3.992,1.3543,36.702
2024-07-08,1.4816,1.3632,7.267,0.92217,7.8098,83.52,1381.31,17.8962,3.9297,1.3478,36.321
2024-07-15,1.4843,1.3677,7.2628,0.91634,7.8068,83.6,1383.06,17.7859,3.92,1.3423,36.086
2024-07-22,1.5172,1.3792,7.2592,0.92073,7.8073,83.72,1384.65,18.2315,3.9436,1.3443,36.173
2024-07-29,1.5317,1.3845,7.2369,0.9243,7.8118,83.72,1374.41,18.6709,3.9658,1.3392,35.717
2024-08-05,1.5329,1.3783,7.1586,0.91491,7.7925,83.99,1371.81,19.2873,3.9497,1.3245,35.392
2024-08-12,1.5117,1.3723,7.16,0.91108,7.7921,83.95,1362.26,18.852,3.9074,1.3197,35.027
2024-08-19,1.4867,1.3611,7.1394,0.90098,7.7946,83.88,1336.62,19.0612,3.8522,1.3083,34.315
2024-08-26,1.4733,1.3479,7.1123,0.89904,7.798,83.91,1331.48,19.5262,3.8526,1.303,33.983
2024-09-02,1.4846,1.3523,7.1069,0.90342,7.7962,83.96,1337.59,19.8817,3.8631,1.3051,33.966
2024-09-09,1.4986,1.3579,7.1127,0.90555,7.798,83.95,1339.51,19.7854,3.8823,1.3039,33.694
2024-09-16,1.4738,1.3574,7.0795,0.8975,7.7937,83.71,1325.04,19.2371,3.8325,1.2933,33.2
2024-09-23,1.456,1.3487,7.0277,0.8967,7.7818,83.63,1327.72,19.4718,3.829,1.286,32.67
2024-09-30,1.4525,1.3524,7.0174,0.9022,7.7666,83.91,1325.65,19.5318,3.8758,1.2902,32.764
2024-10-07,1.4828,1.3684,7.0564,0.91258,7.7715,83.99,1347.42,19.3594,3.9281,1.3048,33.439
2024-10-14,1.4913,1.379,7.1076,0.91861,7.7683,84.03,1364.46,19.6298,3.9506,1.3101,33.216
2024-10-21,1.5016,1.3831,7.1207,0.92481,7.7713,84.08,1382.2,19.901,4.008,1.318,33.619
2024-10-28,1.52,1.391,7.1229,0.92293,7.7729,84.07,1381.48,20.036,4.0147,1.3232,33.795
2024-11-04,1.5119,1.3897,7.1398,0.92498,7.7732,84.25,1386.32,20.142,4.0145,1.3226,33.963
2024-11-11,1.5339,1.3978,7.2222,0.94313,7.7797,84.41,1400.46,20.482,4.0922,1.3388,34.755
2024-11-18,1.539,1.401,7.2432,0.95003,7.7837,84.42,1398.01,20.334,4.117,1.3433,34.637
2024-11-25,1.5388,1.4028,7.2462,0.94967,7.7822,84.42,1396.56,20.459,4.0925,1.3438,34.476
2024-12-02,1.5523,1.405,7.272,0.95003,7.7823,84.7,1412.61,20.326,4.0692,1.3437,34.271
2024-12-09,1.5636,1.417,7.2653,0.95039,7.7751,84.86,1431.71,20.181,4.0546,1.3432,33.877
2024-12-16,1.5871,1.4319,7.2899,0.95648,7.7724,84.98,1441.37,20.2,4.0741,1.3536,34.308
2024-12-23,1.6053,1.4401,7.298,0.9608,7.7661,85.25,1461.76,20.209,4.1065,1.3581,34.146
2024-12-30,1.6092,1.4405,7.3043,0.96497,7.7713,85.65,1471.35,20.627,4.1225,1.3639,34.291
2025-01-06,1.6049,1.4361,7.3275,0.96684,7.779,85.82,1458.89,20.414,4.1236,1.3654,34.536
2025-01-13,1.6178,1.4394,7.3308,0.97437,7.7867,86.57,1461.2,20.658,4.1564,1.3696,34.672
2025-01-20,1.5977,1.4399,7.28,0.96172,7.7874,86.45,1439.33,20.579,4.0711,1.3565,33.972
2025-01-27,1.6016,1.4414,7.2491,0.95886,7.79,86.52,1443.18,20.569,4.0387,1.3503,33.711
2025-02-03,1.6023,1.4404,7.2703,0.96581,7.7887,87.33,1452.67,20.624,4.0654,1.3548,33.771
2025-02-10,1.5906,1.4286,7.2973,0.96376,7.7891,86.95,1449.6,20.545,4.0207,1.3509,33.933
2025-02-17,1.5713,1.4203,7.269,0.95675,7.7765,86.79,1439.66,20.335,3.9857,1.3405,33.672
2025-02-24,1.5853,1.4322,7.2627,0.95529,7.7743,87.1,1439.77,20.424,3.9566,1.3407,33.803
2025-03-03,1.5937,1.439,7.2584,0.93686,7.7726,87.11,1451.98,20.508,3.9041,1.3377,33.764
2025-03-10,1.5878,1.4411,7.2445,0.91979,7.7707,87.14,1454.49,20.189,3.8559,1.3341,33.79
2025-03-17,1.5814,1.4339,7.2365,0.91946,7.7709,86.41,1458.79,20.07,3.853,1.3336,33.693
2025-03-24,1.5854,1.4297,7.2616,0.92558,7.7756,85.63,1466.5,20.176,3.867,1.3386,33.904
2025-03-31,1.5994,1.4273,7.2735,0.91642,7.7783,85.45,1462.36,20.337,3.8502,1.3403,34.15
2025-04-07,1.6383,1.4115,7.3235,0.90269,7.7612,86.18,1461.21,20.596,3.865,1.34,34.261
2025-04-14,1.5741,1.3888,7.3078,0.88075,7.7677,85.73,1420.73,20.046,3.7736,1.3149,33.407
2025-04-21,1.5645,1.3853,7.2949,0.87673,7.7578,85.34,1430.5,19.6072,3.7512,1.3112,33.395
2025-04-28,1.5636,1.3862,7.298,0.88044,7.7571,85.02,1444.38,19.5202,3.7643,1.3139,33.59
